play_id,index,game_id,game_date,time,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,qtr,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,drive,sp,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,pass_length,air_yards,yards_after_catch,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,td_team,total_home_score,total_away_score,posteam_score,defteam_score,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,fumble,complete_pass,Start_Time,diff,Estimated_Time,Estimated_Hour,Air Pressure (hPa),City,Dewpoint (°C),Field,Humidity (%),Precipitation (mm),Roof,Team Abbreviation,Temperature (°C),Time (EST),Time (GMT),Wind Direction (deg),Wind Speed (km/h),game_name,end_of_drive,end_of_game,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LA,LAC,MIA,MIN,NE,NO,NYG,NYJ,OAK,PHI,PIT,SEA,SF,TB,TEN,WAS,year,week,cum_yds
278,363193,2017091003,2017-09-10 00:00:00,11:03,663.0,1563.0,3363.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,76.0,2,0,3.0,0.0,CLE 24,11,12,(11:03) (Shotgun) D.Kizer pass short right to D.Njoku to CLE 37 for 13 yards (W.Gay).,pass,13.0,short,12.0,1.0,,,,,,0,6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-09-10 13:00:00,0 days 00:11:51.000000000,2017-09-10 13:11:51,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-14
302,363194,2017091003,2017-09-10 00:00:00,10:18,618.0,1518.0,3318.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,63.0,2,0,1.0,0.0,CLE 37,10,5,(10:18) (Shotgun) D.Kizer sacked at CLE 30 for -7 yards (A.Chickillo).,pass,-7.0,,,,,,,,,0,6,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:14:06.000000000,2017-09-10 13:14:06,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-9
321,363195,2017091003,2017-09-10 00:00:00,09:32,572.0,1472.0,3272.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,70.0,2,0,2.0,0.0,CLE 30,17,6,(9:32) (Shotgun) D.Kizer pass short left to M.Dayes to CLE 31 for 1 yard (A.Burns).,pass,1.0,short,-3.0,4.0,,,,,,0,6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-09-10 13:00:00,0 days 00:16:24.000000000,2017-09-10 13:16:24,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-3
345,363196,2017091003,2017-09-10 00:00:00,08:52,532.0,1432.0,3232.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,69.0,2,0,3.0,0.0,CLE 31,16,2,(8:52) (Shotgun) D.Kizer sacked at CLE 27 for -4 yards (C.Heyward).,pass,-4.0,,,,,,,,,0,6,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:18:24.000000000,2017-09-10 13:18:24,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-1
364,363197,2017091003,2017-09-10 00:00:00,08:09,489.0,1389.0,3189.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,73.0,2,0,4.0,0.0,CLE 27,20,2,"(8:09) B.Colquitt punts 58 yards to PIT 15, Center-C.Hughlett. E.Rogers to PIT 26 for 11 yards (B.Bello).",punt,0.0,,,,,58.0,,,,0,6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:20:33.000000000,2017-09-10 13:20:33,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,1,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,1
389,363198,2017091003,2017-09-10 00:00:00,07:59,479.0,1379.0,3179.0,Half1,0,1,CLE,PIT,PIT,away,CLE,PIT,74.0,3,0,1.0,0.0,PIT 26,10,-5,"(7:59) (Shotgun) B.Roethlisberger pass short right to E.Rogers to PIT 33 for 7 yards (T.Coley). PENALTY on PIT-J.Smith-Schuster, Offensive Holding, 10 yards, enforced at PIT 28.",pass,2.0,short,0.0,2.0,,,,,,0,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-09-10 13:00:00,0 days 00:21:03.000000000,2017-09-10 13:21:03,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-4
424,363199,2017091003,2017-09-10 00:00:00,07:36,456.0,1356.0,3156.0,Half1,0,1,CLE,PIT,PIT,away,CLE,PIT,82.0,3,0,1.0,0.0,PIT 18,18,-15,(7:36) (Shotgun) B.Roethlisberger pass short right to A.Brown to PIT 21 for 3 yards (J.Taylor).,pass,3.0,short,2.0,1.0,,,,,,0,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-09-10 13:00:00,0 days 00:22:12.000000000,2017-09-10 13:22:12,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-19
448,363200,2017091003,2017-09-10 00:00:00,06:57,417.0,1317.0,3117.0,Half1,0,1,CLE,PIT,PIT,away,CLE,PIT,79.0,3,0,2.0,0.0,PIT 21,15,-15,"(6:57) (Shotgun) B.Roethlisberger pass short left to M.Bryant to PIT 23 for 2 yards (J.McCourty). PENALTY on PIT-V.McDonald, Offensive Holding, 10 yards, enforced at PIT 21 - No Play.",no_play,0.0,,,,,,,,,0,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:24:09.000000000,2017-09-10 13:24:09,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-34
484,363201,2017091003,2017-09-10 00:00:00,06:32,392.0,1292.0,3092.0,Half1,0,1,CLE,PIT,PIT,away,CLE,PIT,89.0,3,0,2.0,0.0,PIT 11,25,-15,(6:32) (Shotgun) B.Roethlisberger pass incomplete short right to M.Bryant.,pass,0.0,short,-2.0,,,,,,,0,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:25:24.000000000,2017-09-10 13:25:24,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-49
513,363202,2017091003,2017-09-10 00:00:00,06:29,389.0,1289.0,3089.0,Half1,0,1,CLE,PIT,PIT,away,CLE,PIT,89.0,3,0,3.0,0.0,PIT 11,25,-6,(6:29) (Shotgun) B.Roethlisberger pass short middle to A.Brown to PIT 20 for 9 yards (D.Kindred).,pass,9.0,short,-1.0,10.0,,,,,,0,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-09-10 13:00:00,0 days 00:25:33.000000000,2017-09-10 13:25:33,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-55
